店舗ID,集計開始日,集計終了日,分類ID,分類名称,メニューID,メニュー名称,メニュータイプ,チョイスID,チョイス名称,売価(税込),売価(税抜),原価(税込),原価(税抜),販売数,販売金額(税込),値割引金額,消費税率区分
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,226782,ボトル割材,1905669,おかわりザル氷,drink,,,0,0,0,0,30,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214852,ホッピー,1905669,おかわりザル氷,drink,,,0,0,0,0,28,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214863,刺身,1905671,海苔おかわり,food,,,110,100,0,0,7,770,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214852,ホッピー,1933367,氷グラス,drink,,,0,0,0,0,12,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,226782,ボトル割材,1933367,氷グラス,drink,,,0,0,0,0,34,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214868,早出し,1989581,なすの揚げ浸し,food,,,418,380,90,84,80,33440,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214855,ノンアル,2012081,ジャスミン茶（ソフト）,drink,,,440,400,10,10,22,9680,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214855,ノンアル,2012081,ジャスミン茶（ソフト）,drink,819086,ホット,0,0,0,0,3,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214855,ノンアル,2012082,コーン茶（ソフト）,drink,,,440,400,41.7,38.7,30,13200,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214855,ノンアル,2012082,コーン茶（ソフト）,drink,819086,ホット,0,0,0,0,6,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214862,串・焼き物,2024440,さば串,food,,,165,150,51,48,152,25080,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214862,串・焼き物,2024441,うずら,food,,,209,190,54,50,125,26125,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214864,煮もの,2027249,ガーリックチーズトースト１枚,food,,,165,150,36,34,42,6930,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214863,刺身,2036493,カルパッチョ,food,,,539,490,248,230,92,49588,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214852,ホッピー,2050581,ナカ（スタッフ用）,drink,,,330,300,51,47,125,41250,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214852,ホッピー,2050592,ソト（スタッフ用）,drink,,,319,290,140,128,69,22011,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214852,ホッピー,2050592,ソト（スタッフ用）,,651177,白ホッピー,0,0,0,0,27,0,,10
